packetsReceivedVideo,roundTripTimeAudio,bytesReceived,jitterAudio,bytesSentAudio,networkType,packetsReceivedAudio,bytesReceivedVideo,roomId,bytesSentVideo,date,bytesSent,packetsLostAudio,bytesReceivedAudio,availableOutgoingBitrate,time,jitterVideo,roundTripTimeVideo,packetsLostVideo,timestamp
21486,29.175,24335526,13,414397,4g,5875,22817873,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,19375028,2025-04-13 21:57:41.087000+00:00,20830954,5,419632,3664005,2025-04-13 21:57:41.236000+00:00,32.0,12.543,17,1744581461084.641
21984,101.50099999999999,24900486,6,421336,4g,5975,23351403,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,20062457,2025-04-13 21:57:43.090000+00:00,21556348,5,426910,4008539,2025-04-13 21:57:43.239000+00:00,36.0,21.927,43,1744581463088.103
22520,101.50099999999999,25508874,5,428106,4g,6074,23926511,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,20766219,2025-04-13 21:57:45.091000+00:00,22297932,6,434378,4617043,2025-04-13 21:57:45.241000+00:00,22.0,11.719,47,1744581465088.1
23079,26.001,26141231,3,435016,4g,6173,24525028,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,21321618,2025-04-13 21:57:47.086000+00:00,22886095,6,441582,4617043,2025-04-13 21:57:47.240000+00:00,22.0,20.156999999999996,47,1744581467083.801
23554,26.001,26680538,4,441837,4g,6274,25033157,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,22169318,2025-04-13 21:57:49.091000+00:00,23776594,6,448938,5067965,2025-04-13 21:57:49.238000+00:00,13.0,31.006,47,1744581469087.826
24072,26.001,27265873,8,448636,4g,6374,25585883,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,22951416,2025-04-13 21:57:51.090000+00:00,24600105,6,456425,5304114,2025-04-13 21:57:51.238000+00:00,22.0,21.301000000000002,47,1744581471087.534
24628,13.458,27900126,5,455341,4g,6474,26185394,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,23637092,2025-04-13 21:57:53.090000+00:00,25323234,6,464241,5304114,2025-04-13 21:57:53.240000+00:00,10.0,21.027,47,1744581473086.936
25155,13.458,28490210,5,462103,4g,6574,26743582,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,24109921,2025-04-13 21:57:55.088000+00:00,25825507,6,471603,5357394,2025-04-13 21:57:55.236000+00:00,7.0,12.588999999999999,47,1744581475085.347
25585,14.770999999999999,28961589,4,469020,4g,6674,27186093,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,24526521,2025-04-13 21:57:57.088000+00:00,26269278,6,479261,5357394,2025-04-13 21:57:57.245000+00:00,6.0,19.333,47,1744581477085.522
25935,14.770999999999999,29344825,6,475968,4g,6774,27543155,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,24972856,2025-04-13 21:57:59.085000+00:00,26743533,6,487185,5357394,2025-04-13 21:57:59.235000+00:00,15.0,23.910999999999998,47,1744581479084.311
26302,12.299,29749813,5,483014,4g,6874,27921904,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,25385927,2025-04-13 21:58:01.084000+00:00,27183778,6,494608,5357394,2025-04-13 21:58:01.236000+00:00,9.0,33.63,47,1744581481084.729
26703,12.299,30187123,4,490074,4g,6974,28331433,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,25812029,2025-04-13 21:58:03.083000+00:00,27637474,6,502323,5357394,2025-04-13 21:58:03.234000+00:00,8.0,31.753999999999998,47,1744581483084.181
27083,14.556999999999999,30602654,3,497078,4g,7074,28719834,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,26237565,2025-04-13 21:58:05.083000+00:00,28090672,6,509997,5357394,2025-04-13 21:58:05.236000+00:00,7.0,22.278,47,1744581485085.06
27428,14.556999999999999,30986528,16,503907,4g,7168,29078587,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,26679134,2025-04-13 21:58:07.081000+00:00,28560072,12,517266,5357394,2025-04-13 21:58:07.234000+00:00,29.0,10.863999999999999,66,1744581487084.748
27717,14.556999999999999,31296260,4,510867,4g,7268,29364362,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,27091351,2025-04-13 21:58:09.082000+00:00,28999241,12,524760,5357394,2025-04-13 21:58:09.235000+00:00,7.0,18.89,66,1744581489085.387
28205,21.087999999999997,31824963,4,517904,4g,7368,29861971,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,27525258,2025-04-13 21:58:11.081000+00:00,29461131,12,532316,5357394,2025-04-13 21:58:11.240000+00:00,15.0,18.737999999999996,66,1744581491084.784
28802,21.087999999999997,32467520,5,524837,4g,7468,30469668,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,27952681,2025-04-13 21:58:13.081000+00:00,29916497,12,539542,5357394,2025-04-13 21:58:13.234000+00:00,12.0,14.724999999999998,66,1744581493085.927
